"","Site","Depth","n","mean","sd","se"
"1","EVR","0 -5 cm",3,0.348666666666667,0.0600444279957211,0.0346666666666667
"2","EVR","15-20 cm",3,0.145,0.0512640224719052,0.0295972971738975
"3","EVR","25-30 cm",3,0.168333333333333,0.0224796204001165,0.0129786148892879
"4","EVR","45-50 cm",3,0.143333333333333,0.0295352896267047,0.0170522074165715
"5","EVR","7-12 cm",3,0.224,0.0480832611206852,0.034
"6","EVR","80-90 cm",3,0.267,0.0197989898732233,0.014
"7","EVV","0 -5 cm",3,0.339,0.0857146428563988,0.0494873721266345
"8","EVV","15-20 cm",3,0.196333333333333,0.117746903710175,0.0679812065533148
"9","EVV","25-30 cm",3,0.188666666666667,0.0370989667421255,0.0214190984352231
"10","EVV","45-50 cm",3,0.187666666666667,0.0554737175005726,0.0320277657319048
"11","EVV","7-12 cm",3,0.273666666666667,0.0412593423764041,0.0238210924276038
"12","EVV","80-90 cm",3,0.202666666666667,0.13804830072599,0.0797022235853207
"13","ICA-R","0 -5 cm",3,0.0966666666666667,0.0125830573921179,0.00726483157256779
"14","ICA-R","15-20 cm",3,0.0563333333333333,0.00802080627701064,0.00463081466314994
"15","ICA-R","25-30 cm",3,0.0436666666666667,0.00702376916856849,0.00405517502019881
"16","ICA-R","45-50 cm",3,0.062,0.010816653826392,0.0062449979983984
"17","ICA-R","7-12 cm",3,0.0696666666666667,0.0170098010962308,0.00982061324177082
"18","ICA-R","80-90 cm",3,0.123666666666667,0.0282901631902917,0.0163333333333333
"19","ICA-V","0 -5 cm",3,0.144,0.0471487009365051,0.0272213151776324
"20","ICA-V","15-20 cm",3,0.135,0.0284780617317963,0.0164418166068514
"21","ICA-V","25-30 cm",3,0.093,0.012,0.00692820323027551
"22","ICA-V","45-50 cm",3,0.0843333333333333,0.0385529938310027,0.0222585813663954
"23","ICA-V","7-12 cm",3,0.144333333333333,0.0769696910045333,0.0444384718209096
"24","ICA-V","80-90 cm",3,0.096,0.0228691932520585,0.0132035348802256
