"","Site","Depth","rootpase_groot_mean","rootpase_vol_mean","soilpase_gsoil_mean","soilpase_vol_mean","rootpase_groot_sd","rootpase_vol_sd","soilpase_gsoil_sd","soilpase_vol_sd"
"1","EVR","0-10cm",55.2856666666667,0.0623333333333333,6.50119382666667,7.63131856033333,8.30623051289412,0.0257358375292768,1.57469956482337,1.70588007744827
"2","EVR","10-20cm",72.7223333333333,0.0636666666666667,8.50891292433333,12.616643788,30.9326231886876,0.0354729944229879,2.78351102457283,4.05584472538661
"3","EVR","20-30cm",49.222,0.0156666666666667,7.876702886,12.4467578666667,26.3373051772576,0.0126622799421484,2.67374726432021,3.74887701628432
"4","EVV","0-10cm",48.7326666666667,0.0526666666666667,4.32513239166667,4.97794664433333,29.308892376433,0.0380043857118272,0.933009154559461,1.1610475626648
"5","EVV","10-20cm",65.3956666666667,0.0436666666666667,3.08597216966667,3.71763075833333,28.8877859022344,0.0268576494379782,1.49046071489004,1.19900077956179
"6","EVV","20-30cm",43.4775,0.023,3.88601831833333,5.12918817633333,29.1929034612866,0.00565685424949238,2.306938094781,2.81525306712775
"7","ICA-R","0-10cm",104.060666666667,0.168666666666667,5.890415888,6.857082009,45.3845622688303,0.0950438495292217,1.34942802491127,2.06940559782744
"8","ICA-R","10-20cm",88.3193333333333,0.133666666666667,5.126980411,6.61643040666667,47.3113887170239,0.105614077344516,2.30180036860833,3.00373667469106
"9","ICA-R","20-30cm",104.196666666667,0.0276666666666667,4.53338602533333,6.97556968933333,55.6284735125218,0.0261023626006025,2.42406573415006,3.64629315370492
"10","ICA-V","0-10cm",23.088,0.02,2.752510398,3.37896527433333,6.82281811277422,0.00360555127546399,0.997354617685527,1.74899800354213
"11","ICA-V","10-20cm",20.7113333333333,0.00533333333333333,3.148014492,4.460322739,19.5972848204371,0.00378593889720018,0.898778100120789,1.14574964666733
"12","ICA-V","20-30cm",32.4183333333333,0.00733333333333333,2.86453039766667,3.87276888033333,5.73700586833701,0.0118462370959446,2.19871674233352,2.81738773608678
